Number,Name,Size(m),Weight(lb),Weight(kg),PokedexColor,Type1,Type2,Evolution,NormalDamage,FireDamage,WaterDamage,ElectricDamage,GrassDamage,IceDamage,FightingDamage,PoisonDamage,GroundDamage,FlyingDamage,PsychcDamage,BugDamage,RockDamage,GhostDamage,DragonDamage,DarkDamage,SteelDamage,FairyDamage
144,Articuno,1.7,122.1,55.4, Blue,Ice,Flying,[],*1,*2,*1,*2,*0.5,*1,*1,*1,*0,*1,*1,*0.5,*4,*1,*1,*1,*2,*1
145,Zapdos,1.6,116.0,52.6, Yellow,Electric,Flying,[],*1,*1,*1,*1,*0.5,*2,*0.5,*1,*0,*0.5,*1,*0.5,*2,*1,*1,*1,*0.5,*1
146,Moltres,2.0,132.3,60.0, Yellow,Fire,Flying,[],*1,*0.5,*2,*2,*0.25,*1,*0.5,*1,*0,*1,*1,*0.25,*4,*1,*1,*1,*0.5,*0.5
147,Dratini,1.8,7.3,3.3, Blue,Dragon,,"[148, 149]",*1,*0.5,*0.5,*0.5,*0.5,*2,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*2
148,Dragonair,4.0,36.4,16.5, Blue,Dragon,,[149],*1,*0.5,*0.5,*0.5,*0.5,*2,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*2
149,Dragonite,2.2,463.0,210.0, Brown,Dragon,Flying,[],*1,*0.5,*0.5,*1,*0.25,*4,*0.5,*1,*0,*1,*1,*0.5,*2,*1,*2,*1,*1,*2
150,Mewtwo,2.0,269.0,122.0, Purple,Psychic,,[],*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
151,Mew,,,,,Psychic,,[],*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
152,Chikorita,0.9,14.1,6.4, Green,Grass,,"[153, 154]",*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
153,Bayleef,1.2,34.8,15.8, Green,Grass,,[154],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
154,Meganium,1.8,221.6,100.5, Green,Grass,,[],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
155,Cyndaquil,0.5,17.4,7.9, Yellow,Fire,,"[156, 157]",*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
156,Quilava,0.9,41.9,19.0, Yellow,Fire,,[157],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
157,Typhlosion,1.7,175.3,79.5, Yellow,Fire,,[],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
158,Totodile,0.6,20.9,9.5, Blue,Water,,"[159, 160]",*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
159,Croconaw,1.1,55.1,25.0, Blue,Water,,[160],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
160,Feraligatr,2.3,195.8,88.8, Blue,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
161,Sentret,0.8,13.2,6.0, Brown,Normal,,[162],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
162,Furret,1.8,71.7,32.5, Brown,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
163,Hoothoot,0.7,46.7,21.2, Brown,Normal,Flying,[164],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
164,Noctowl,1.6,89.9,40.8, Brown,Normal,Flying,[],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
165,Ledyba,1.0,23.8,10.8, Red,Bug,Flying,[166],*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
166,Ledian,1.4,78.5,35.6, Red,Bug,Flying,[],*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
167,Spinarak,0.5,18.7,8.5, Green,Bug,Poison,[168],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
168,Ariados,1.1,73.9,33.5, Red,Bug,Poison,[],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
169,Crobat,1.8,165.3,75.0, Purple,Poison,Flying,[],*1,*1,*1,*2,*0.25,*2,*0.25,*0.5,*0,*1,*2,*0.25,*2,*1,*1,*1,*1,*0.5
170,Chinchou,0.5,26.5,12.0, Blue,Water,Electric,[171],*1,*0.5,*0.5,*1,*2,*0.5,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.25,*1
171,Lanturn,1.2,49.6,22.5, Blue,Water,Electric,[],*1,*0.5,*0.5,*1,*2,*0.5,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.25,*1
172,Pichu,0.3,4.4,2.0, Yellow,Electric,,[],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
173,Cleffa,0.3,6.6,3.0, Pink,Fairy,,[],*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*1
174,Igglybuff,0.3,2.2,1.0, Pink,Normal,Fairy,[],*1,*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0.5,*1,*0,*0,*0.5,*2,*1
175,Togepi,0.3,3.3,1.5, White,Fairy,,"[176, 468]",*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*1
176,Togetic,0.6,7.1,3.2, White,Fairy,Flying,[468],*1,*1,*1,*2,*0.5,*2,*0.25,*2,*0,*1,*1,*0.25,*2,*1,*0,*0.5,*2,*1
177,Natu,0.2,4.4,2.0, Green,Psychic,Flying,[178],*1,*1,*1,*2,*0.5,*2,*0.25,*1,*0,*1,*0.5,*1,*2,*2,*1,*2,*1,*1
178,Xatu,1.5,33.1,15.0, Green,Psychic,Flying,[],*1,*1,*1,*2,*0.5,*2,*0.25,*1,*0,*1,*0.5,*1,*2,*2,*1,*2,*1,*1
179,Mareep,0.6,17.2,7.8, White,Electric,,"[180, 181]",*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
180,Flaaffy,0.8,29.3,13.3, Pink,Electric,,[181],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
181,Ampharos,1.4,135.6,61.5, Yellow,Electric,,[],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
182,Bellossom,0.4,12.8,5.8, Green,Grass,,[],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
183,Marill,0.4,18.7,8.5, Blue,Water,Fairy,"[298, 184]",*1,*0.5,*0.5,*2,*2,*0.5,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*1,*1
184,Azumarill,0.8,62.8,28.5, Blue,Water,Fairy,[298],*1,*0.5,*0.5,*2,*2,*0.5,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*1,*1
185,Sudowoodo,1.2,83.8,38.0, Brown,Rock,,[438],*0.5,*0.5,*2,*1,*2,*1,*2,*0.5,*2,*0.5,*1,*1,*1,*1,*1,*1,*2,*1
186,Politoed,1.1,74.7,33.9, Green,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
187,Hoppip,0.4,1.1,0.5, Pink,Grass,Flying,"[188, 189]",*1,*2,*0.5,*1,*0.25,*4,*0.5,*2,*0,*2,*1,*1,*2,*1,*1,*1,*1,*1
188,Skiploom,0.6,2.2,1.0, Green,Grass,Flying,[189],*1,*2,*0.5,*1,*0.25,*4,*0.5,*2,*0,*2,*1,*1,*2,*1,*1,*1,*1,*1
189,Jumpluff,0.8,6.6,3.0, Blue,Grass,Flying,[],*1,*2,*0.5,*1,*0.25,*4,*0.5,*2,*0,*2,*1,*1,*2,*1,*1,*1,*1,*1
190,Aipom,0.8,25.4,11.5, Purple,Normal,,[424],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
191,Sunkern,0.3,4.0,1.8, Yellow,Grass,,[192],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
192,Sunflora,0.8,18.7,8.5, Yellow,Grass,,[],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
193,Yanma,1.2,83.8,38.0, Red,Bug,Flying,[469],*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
194,Wooper,0.4,18.7,8.5, Blue,Water,Ground,[195],*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
195,Quagsire,1.4,165.3,75.0, Blue,Water,Ground,[],*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
196,Espeon,0.9,58.4,26.5, Purple,Psychic,,"[470, 471, 197, 700]",*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
197,Umbreon,1.0,59.5,27.0, Black,Dark,,"[470, 471, 700]",*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0,*2,*1,*0.5,*1,*0.5,*1,*2
198,Murkrow,0.5,4.6,2.1, Black,Dark,Flying,[430],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*0,*1,*2,*0.5,*1,*0.5,*1,*2
199,Slowking,2.0,175.3,79.5, Pink,Water,Psychic,[],*1,*0.5,*0.5,*2,*2,*0.5,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*0.5,*1
200,Misdreavus,,,,,Ghost,,[429],*0,*1,*1,*1,*1,*1,*0,*0.5,*1,*1,*1,*0.5,*1,*2,*1,*2,*1,*1
201,Unown,,,,,Psychic,,[],*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
202,Wobbuffet,1.3,62.8,28.5, Blue,Psychic,,[360],*1,*1,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*2,*1,*2,*1,*2,*1,*1
203,Girafarig,1.5,91.5,41.5, Yellow,Normal,Psychic,[],*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*0,*1,*2,*1,*1
204,Pineco,0.6,15.9,7.2, Gray,Bug,,[205],*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
205,Forretress,1.2,277.3,125.8, Purple,Bug,Steel,[],*0.5,*4,*1,*1,*0.25,*0.5,*1,*0,*1,*1,*0.5,*0.5,*1,*1,*0.5,*1,*0.5,*0.5
206,Dunsparce,1.5,30.9,14.0, Yellow,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
207,Gligar,1.1,142.9,64.8, Purple,Ground,Flying,[472],*1,*1,*2,*0,*1,*4,*0.5,*0.5,*0,*1,*1,*0.5,*1,*1,*1,*1,*1,*1
208,Steelix,9.2,881.8,400.0, Gray,Steel,Ground,[],*0.5,*2,*2,*0,*1,*1,*2,*0,*2,*0.5,*0.5,*0.5,*0.25,*1,*0.5,*1,*0.5,*0.5
209,Snubbull,0.6,17.2,7.8, Pink,Fairy,,[210],*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*1
210,Granbull,1.4,107.4,48.7, Purple,Fairy,,[],*1,*1,*1,*1,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1,*1,*0,*0.5,*2,*1
211,Qwilfish,0.5,8.6,3.9, Gray,Water,Poison,[],*1,*0.5,*0.5,*2,*1,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*1,*1,*1,*1,*0.5,*0.5
212,Scizor,1.8,260.1,118.0, Red,Bug,Steel,[],*0.5,*4,*1,*1,*0.25,*0.5,*1,*0,*1,*1,*0.5,*0.5,*1,*1,*0.5,*1,*0.5,*0.5
213,Shuckle,0.6,45.2,20.5, Yellow,Bug,Rock,[],*0.5,*1,*2,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*1,*1,*1,*2,*1
214,Heracross,1.5,119.0,54.0, Blue,Bug,Fighting,[],*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*4,*2,*0.5,*1,*1,*1,*0.5,*1,*2
215,Sneasel,0.9,61.7,28.0, Black,Dark,Ice,[461],*1,*2,*1,*1,*1,*0.5,*4,*1,*1,*1,*0,*2,*2,*0.5,*1,*0.5,*2,*2
216,Teddiursa,0.6,19.4,8.8, Brown,Normal,,[217],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
217,Ursaring,1.8,277.3,125.8, Brown,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
218,Slugma,0.7,77.2,35.0, Red,Fire,,[219],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
219,Magcargo,0.8,121.3,55.0, Red,Fire,Rock,[],*0.5,*0.25,*4,*1,*1,*0.5,*2,*0.5,*4,*0.5,*1,*0.5,*2,*1,*1,*1,*1,*0.5
220,Swinub,0.4,14.3,6.5, Brown,Ice,Ground,"[221, 473]",*1,*2,*2,*0,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1
221,Piloswine,1.1,123.0,55.8, Brown,Ice,Ground,[473],*1,*2,*2,*0,*2,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1
222,Corsola,0.6,11.0,5.0, Pink,Water,Rock,[864],*0.5,*0.25,*1,*2,*4,*0.5,*2,*0.5,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1
223,Remoraid,0.6,26.5,12.0, Gray,Water,,[224],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
224,Octillery,0.9,62.8,28.5, Red,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
225,Delibird,0.9,35.3,16.0, Red,Ice,Flying,[],*1,*2,*1,*2,*0.5,*1,*1,*1,*0,*1,*1,*0.5,*4,*1,*1,*1,*2,*1
226,Mantine,2.1,485.0,220.0, Purple,Water,Flying,[458],*1,*0.5,*0.5,*4,*1,*1,*0.5,*1,*0,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1
227,Skarmory,1.7,111.3,50.5, Gray,Steel,Flying,[],*0.5,*2,*1,*2,*0.25,*1,*1,*0,*0,*0.5,*0.5,*0.25,*1,*1,*0.5,*1,*0.5,*0.5
228,Houndour,0.6,23.8,10.8, Black,Dark,Fire,[229],*1,*0.5,*2,*1,*0.5,*0.5,*2,*1,*2,*1,*0,*1,*2,*0.5,*1,*0.5,*0.5,*1
229,Houndoom,1.4,77.2,35.0, Black,Dark,Fire,[],*1,*0.5,*2,*1,*0.5,*0.5,*2,*1,*2,*1,*0,*1,*2,*0.5,*1,*0.5,*0.5,*1
230,Kingdra,1.8,335.1,152.0, Blue,Water,Dragon,[],*1,*0.25,*0.25,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*1,*0.5,*2
231,Phanpy,0.5,73.9,33.5, Blue,Ground,,[232],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
232,Donphan,1.1,264.6,120.0, Gray,Ground,,[],*1,*1,*2,*0,*2,*2,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*1,*1
233,Porygon2,0.6,71.7,32.5, Red,Normal,,[474],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
234,Stantler,1.4,157.0,71.2, Brown,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
235,Smeargle,1.2,127.9,58.0, White,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
236,Tyrogue,0.7,46.3,21.0, Purple,Fighting,,[237],*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
237,Hitmontop,1.4,105.8,48.0, Brown,Fighting,,[],*1,*1,*1,*1,*1,*1,*1,*1,*1,*2,*2,*0.5,*0.5,*1,*1,*0.5,*1,*2
238,Smoochum,0.4,13.2,6.0, Pink,Ice,Psychic,[],*1,*2,*1,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*2,*2,*2,*1,*2,*2,*1
239,Elekid,0.6,51.8,23.5, Yellow,Electric,,[466],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
240,Magby,0.7,47.2,21.4, Red,Fire,,[467],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
241,Miltank,1.2,166.4,75.5, Pink,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
242,Blissey,1.5,103.2,46.8, Pink,Normal,,[440],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
243,Raikou,1.9,392.4,178.0, Yellow,Electric,,[],*1,*1,*1,*0.5,*1,*1,*1,*1,*2,*0.5,*1,*1,*1,*1,*1,*1,*0.5,*1
244,Entei,2.1,436.5,198.0, Brown,Fire,,[],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
245,Suicune,2.0,412.3,187.0, Blue,Water,,[],*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
246,Larvitar,0.6,158.7,72.0, Green,Rock,Ground,"[247, 248]",*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
247,Pupitar,,,,,Rock,Ground,[248],*0.5,*0.5,*4,*0,*4,*2,*2,*0.25,*2,*0.5,*1,*1,*0.5,*1,*1,*1,*2,*1
248,Tyranitar,2.0,445.3,202.0, Green,Rock,Dark,[],*0.5,*0.5,*2,*1,*2,*1,*4,*0.5,*2,*0.5,*0,*2,*1,*0.5,*1,*0.5,*2,*2
249,Lugia,5.2,476.2,216.0, White,Psychic,Flying,[],*1,*1,*1,*2,*0.5,*2,*0.25,*1,*0,*1,*0.5,*1,*2,*2,*1,*2,*1,*1
250,Ho-Oh,3.8,438.7,199.0, Red,Fire,Flying,[],*1,*0.5,*2,*2,*0.25,*1,*0.5,*1,*0,*1,*1,*0.25,*4,*1,*1,*1,*0.5,*0.5
251,Celebi,,,,,Psychic,Grass,[],*1,*2,*0.5,*0.5,*0.5,*2,*0.5,*2,*0.5,*2,*0.5,*4,*1,*2,*1,*2,*1,*1
252,Treecko,0.5,11.0,5.0, Green,Grass,,"[253, 254]",*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
253,Grovyle,0.9,47.6,21.6, Green,Grass,,[254],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
254,Sceptile,1.7,115.1,52.2, Green,Grass,,[],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
255,Torchic,0.4,5.5,2.5, Red,Fire,,"[256, 257]",*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*0.5
256,Combusken,0.9,43.0,19.5, Red,Fire,Fighting,[257],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*2,*2,*0.25,*1,*1,*1,*0.5,*0.5,*1
257,Blaziken,1.9,114.6,52.0, Red,Fire,Fighting,[],*1,*0.5,*2,*1,*0.5,*0.5,*1,*1,*2,*2,*2,*0.25,*1,*1,*1,*0.5,*0.5,*1
258,Mudkip,0.4,16.8,7.6, Blue,Water,,"[259, 260]",*1,*0.5,*0.5,*2,*2,*0.5,*1,*1,*1,*1,*1,*1,*1,*1,*1,*1,*0.5,*1
259,Marshtomp,0.7,61.7,28.0, Blue,Water,Ground,[260],*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
260,Swampert,1.5,180.6,81.9, Blue,Water,Ground,[],*1,*0.5,*1,*0,*4,*1,*1,*0.5,*1,*1,*1,*1,*0.5,*1,*1,*1,*0.5,*1
261,Poochyena,0.5,30.0,13.6, Gray,Dark,,[262],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0,*2,*1,*0.5,*1,*0.5,*1,*2
262,Mightyena,1.0,81.6,37.0, Gray,Dark,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*0,*2,*1,*0.5,*1,*0.5,*1,*2
263,Zigzagoon,0.4,38.6,17.5, Brown,Normal,,"[264, 862]",*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
264,Linoone,0.5,71.7,32.5, White,Normal,,[862],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
265,Wurmple,0.3,7.9,3.6, Red,Bug,,"[266, 267, 268, 269]",*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
266,Silcoon,,,,,Bug,,"[267, 268, 269]",*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
267,Beautifly,1.0,62.6,28.4, Yellow,Bug,Flying,"[268, 269]",*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
268,Cascoon,,,,,Bug,,[269],*1,*2,*1,*1,*0.5,*1,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*1,*1
269,Dustox,1.2,69.7,31.6, Green,Bug,Poison,[],*1,*2,*1,*1,*0.25,*1,*0.25,*0.5,*1,*2,*2,*0.5,*2,*1,*1,*1,*1,*0.5
270,Lotad,0.5,5.7,2.6, Green,Water,Grass,"[271, 272]",*1,*1,*0.25,*1,*1,*1,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*0.5,*1
271,Lombre,1.2,71.7,32.5, Green,Water,Grass,[272],*1,*1,*0.25,*1,*1,*1,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*0.5,*1
272,Ludicolo,1.5,121.3,55.0, Green,Water,Grass,[],*1,*1,*0.25,*1,*1,*1,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*0.5,*1
273,Seedot,0.5,8.8,4.0, Brown,Grass,,"[274, 275]",*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
274,Nuzleaf,1.0,61.7,28.0, Brown,Grass,Dark,[275],*1,*2,*0.5,*0.5,*0.5,*2,*2,*2,*0.5,*2,*0,*4,*1,*0.5,*1,*0.5,*1,*2
275,Shiftry,1.3,131.4,59.6, Brown,Grass,Dark,[],*1,*2,*0.5,*0.5,*0.5,*2,*2,*2,*0.5,*2,*0,*4,*1,*0.5,*1,*0.5,*1,*2
276,Taillow,0.3,5.1,2.3, Blue,Normal,Flying,[277],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
277,Swellow,0.7,43.7,19.8, Blue,Normal,Flying,[],*1,*1,*1,*2,*0.5,*2,*1,*1,*0,*1,*1,*0.5,*2,*0,*1,*1,*1,*1
278,Wingull,0.6,20.9,9.5, White,Water,Flying,[279],*1,*0.5,*0.5,*4,*1,*1,*0.5,*1,*0,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1
279,Pelipper,1.2,61.7,28.0, Yellow,Water,Flying,[],*1,*0.5,*0.5,*4,*1,*1,*0.5,*1,*0,*1,*1,*0.5,*2,*1,*1,*1,*0.5,*1
280,Ralts,0.4,14.6,6.6, White,Psychic,Fairy,"[281, 282, 475]",*1,*1,*1,*1,*1,*1,*0.25,*2,*1,*1,*0.5,*1,*1,*2,*0,*1,*2,*1
281,Kirlia,0.8,44.5,20.2, White,Psychic,Fairy,"[282, 475]",*1,*1,*1,*1,*1,*1,*0.25,*2,*1,*1,*0.5,*1,*1,*2,*0,*1,*2,*1
282,Gardevoir,1.6,106.7,48.4, White,Psychic,Fairy,[475],*1,*1,*1,*1,*1,*1,*0.25,*2,*1,*1,*0.5,*1,*1,*2,*0,*1,*2,*1
283,Surskit,0.5,3.7,1.7, Blue,Bug,Water,[284],*1,*1,*0.5,*2,*1,*0.5,*0.5,*1,*0.5,*2,*1,*1,*2,*1,*1,*1,*0.5,*1
284,Masquerain,0.8,7.9,3.6, Blue,Bug,Flying,[],*1,*2,*1,*2,*0.25,*2,*0.25,*1,*0,*2,*1,*0.5,*4,*1,*1,*1,*1,*1
285,Shroomish,0.4,9.9,4.5, Brown,Grass,,[286],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*2,*1,*2,*1,*1,*1,*1,*1,*1
286,Breloom,1.2,86.4,39.2, Green,Grass,Fighting,[],*1,*2,*0.5,*0.5,*0.5,*2,*1,*2,*0.5,*4,*2,*1,*0.5,*1,*1,*0.5,*1,*2
287,Slakoth,,,,,Normal,,"[288, 289]",*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
288,Vigoroth,,,,,Normal,,[289],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
289,Slaking,,,,,Normal,,[],*1,*1,*1,*1,*1,*1,*2,*1,*1,*1,*1,*1,*1,*0,*1,*1,*1,*1
290,Nincada,0.5,12.1,5.5, Gray,Bug,Ground,"[291, 292]",*1,*2,*2,*0,*1,*2,*0.5,*0.5,*0.5,*2,*1,*1,*1,*1,*1,*1,*1,*1
